State,Year,Type,Value
Rhode Island,2018,Collision loss ratio,68.87
Rhode Island,2019,Collision loss ratio,71.45
Washington,2017,Collision loss ratio,77.5
Washington,2018,Collision loss ratio,71.78
Washington,2019,Collision loss ratio,71.77
Massachusetts,2017,Collision premiums,1566239556
Massachusetts,2018,Collision premiums,1648538554
Massachusetts,2019,Collision premiums,1712335940
Nebraska,2017,Collision premiums,264531390
Nebraska,2018,Collision premiums,280094885
Nebraska,2019,Collision premiums,288968510
New York,2017,Collision premiums,3091217334
New York,2018,Collision premiums,3277442757
New York,2019,Collision premiums,3394399283
Oregon,2017,Collision premiums,510851297
Oregon,2018,Collision premiums,564895097
Oregon,2019,Collision premiums,589931255
Rhode Island,2017,Collision premiums,223445237
Rhode Island,2018,Collision premiums,237188903
Rhode Island,2019,Collision premiums,248931678
Washington,2017,Collision premiums,958763906
Washington,2018,Collision premiums,1043024440
Washington,2019,Collision premiums,1116628070
Massachusetts,2017,Collsion inc claims,287879
Massachusetts,2018,Collsion inc claims,282529
Massachusetts,2019,Collsion inc claims,278123
Nebraska,2017,Collsion inc claims,47206
Nebraska,2018,Collsion inc claims,49882
Nebraska,2019,Collsion inc claims,51843
New York,2017,Collsion inc claims,479758
New York,2018,Collsion inc claims,486057
New York,2019,Collsion inc claims,474175
Oregon,2017,Collsion inc claims,104558
Oregon,2018,Collsion inc claims,100922
Oregon,2019,Collsion inc claims,105062
Rhode Island,2017,Collsion inc claims,35043
Rhode Island,2018,Collsion inc claims,34997
Rhode Island,2019,Collsion inc claims,35289
Washington,2017,Collsion inc claims,182324
Washington,2018,Collsion inc claims,178609
Washington,2019,Collsion inc claims,183492
Massachusetts,2017,Comprehensive inc claims,496855
Massachusetts,2018,Comprehensive inc claims,507415
Massachusetts,2019,Comprehensive inc claims,515796
Nebraska,2017,Comprehensive inc claims,123336
Nebraska,2018,Comprehensive inc claims,91157
Nebraska,2019,Comprehensive inc claims,115167
New York,2017,Comprehensive inc claims,961276
New York,2018,Comprehensive inc claims,1043766
New York,2019,Comprehensive inc claims,962004
Oregon,2017,Comprehensive inc claims,190383
Oregon,2018,Comprehensive inc claims,177392
Oregon,2019,Comprehensive inc claims,180468
Rhode Island,2017,Comprehensive inc claims,41181
Rhode Island,2018,Comprehensive inc claims,44747
Rhode Island,2019,Comprehensive inc claims,42720
Washington,2017,Comprehensive inc claims,360393
Washington,2018,Comprehensive inc claims,355140
Washington,2019,Comprehensive inc claims,357778
Massachusetts,2017,Comprehensive inc losses,319701537
Massachusetts,2018,Comprehensive inc losses,377288679
Massachusetts,2019,Comprehensive inc losses,362794723
Nebraska,2017,Comprehensive inc losses,285798717
Nebraska,2018,Comprehensive inc losses,134176737
Nebraska,2019,Comprehensive inc losses,253856269
New York,2017,Comprehensive inc losses,853104495
New York,2018,Comprehensive inc losses,939657505
New York,2019,Comprehensive inc losses,952386701
Oregon,2017,Comprehensive inc losses,143597547
Oregon,2018,Comprehensive inc losses,139537571
Oregon,2019,Comprehensive inc losses,152627350
Rhode Island,2017,Comprehensive inc losses,43694691
Rhode Island,2018,Comprehensive inc losses,49534923
Rhode Island,2019,Comprehensive inc losses,54940001
Washington,2017,Comprehensive inc losses,226970386
Washington,2018,Comprehensive inc losses,231492924
Washington,2019,Comprehensive inc losses,253910792
Massachusetts,2017,Comprehensive loss ratio,56.39
Massachusetts,2018,Comprehensive loss ratio,64.63
Massachusetts,2019,Comprehensive loss ratio,60.52
Nebraska,2017,Comprehensive loss ratio,117.74
Nebraska,2018,Comprehensive loss ratio,51.32
Nebraska,2019,Comprehensive loss ratio,91.29
New York,2017,Comprehensive loss ratio,65.98
New York,2018,Comprehensive loss ratio,71.57
New York,2019,Comprehensive loss ratio,73.39
Oregon,2017,Comprehensive loss ratio,78.05
Oregon,2018,Comprehensive loss ratio,70.08
Oregon,2019,Comprehensive loss ratio,72.85
Rhode Island,2017,Comprehensive loss ratio,69.66
Rhode Island,2018,Comprehensive loss ratio,76.05
Rhode Island,2019,Comprehensive loss ratio,83
Washington,2017,Comprehensive loss ratio,66.32
Washington,2018,Comprehensive loss ratio,63.74
Washington,2019,Comprehensive loss ratio,67.36
Massachusetts,2017,Comprehensive premiums,566941564
Massachusetts,2018,Comprehensive premiums,583781905
Massachusetts,2019,Comprehensive premiums,599436832
Nebraska,2017,Comprehensive premiums,242727127
Nebraska,2018,Comprehensive premiums,261430094
Nebraska,2019,Comprehensive premiums,278078986
New York,2017,Comprehensive premiums,1292880014
New York,2018,Comprehensive premiums,1312994573
New York,2019,Comprehensive premiums,1297627751
Oregon,2017,Comprehensive premiums,183985718
Oregon,2018,Comprehensive premiums,199125131
Oregon,2019,Comprehensive premiums,209501657
Rhode Island,2017,Comprehensive premiums,62725057
Rhode Island,2018,Comprehensive premiums,65135981
Rhode Island,2019,Comprehensive premiums,66195547
Washington,2017,Comprehensive premiums,342214935
Washington,2018,Comprehensive premiums,363190408
Washington,2019,Comprehensive premiums,376921675
Massachusetts,2017,Fatal accidents per 100 Million vehicle miles,0.56
Massachusetts,2018,Fatal accidents per 100 Million vehicle miles,0.54
Massachusetts,2019,Fatal accidents per 100 Million vehicle miles,0.51
Nebraska,2017,Fatal accidents per 100 Million vehicle miles,1.09
Nebraska,2018,Fatal accidents per 100 Million vehicle miles,1.1
Nebraska,2019,Fatal accidents per 100 Million vehicle miles,1.17
New York,2017,Fatal accidents per 100 Million vehicle miles,0.81
New York,2018,Fatal accidents per 100 Million vehicle miles,0.76
New York,2019,Fatal accidents per 100 Million vehicle miles,0.75
Oregon,2017,Fatal accidents per 100 Million vehicle miles,1.19
Oregon,2018,Fatal accidents per 100 Million vehicle miles,1.37
Oregon,2019,Fatal accidents per 100 Million vehicle miles,1.37
Rhode Island,2017,Fatal accidents per 100 Million vehicle miles,1.04
Rhode Island,2018,Fatal accidents per 100 Million vehicle miles,0.74
Rhode Island,2019,Fatal accidents per 100 Million vehicle miles,0.75
Washington,2017,Fatal accidents per 100 Million vehicle miles,0.92
Washington,2018,Fatal accidents per 100 Million vehicle miles,0.88
Washington,2019,Fatal accidents per 100 Million vehicle miles,0.83
Massachusetts,2017,Fatal accidents per 1000 registered vehicles,0.07
Massachusetts,2018,Fatal accidents per 1000 registered vehicles,0.07
Massachusetts,2019,Fatal accidents per 1000 registered vehicles,0.07
Nebraska,2017,Fatal accidents per 1000 registered vehicles,0.12
Nebraska,2018,Fatal accidents per 1000 registered vehicles,0.12
Nebraska,2019,Fatal accidents per 1000 registered vehicles,0.13
New York,2017,Fatal accidents per 1000 registered vehicles,0.1
New York,2018,Fatal accidents per 1000 registered vehicles,0.09
New York,2019,Fatal accidents per 1000 registered vehicles,0.08
Oregon,2017,Fatal accidents per 1000 registered vehicles,0.11
Oregon,2018,Fatal accidents per 1000 registered vehicles,0.13
Oregon,2019,Fatal accidents per 1000 registered vehicles,0.13
Rhode Island,2017,Fatal accidents per 1000 registered vehicles,0.1
Rhode Island,2018,Fatal accidents per 1000 registered vehicles,0.07
Rhode Island,2019,Fatal accidents per 1000 registered vehicles,0.07
Washington,2017,Fatal accidents per 1000 registered vehicles,0.08
Washington,2018,Fatal accidents per 1000 registered vehicles,0.08
Washington,2019,Fatal accidents per 1000 registered vehicles,0.07
Massachusetts,2017,Insured drivers,4767023.765
Massachusetts,2018,Insured drivers,4767023.765
Massachusetts,2019,Insured drivers,4767023.765
Nebraska,2017,Insured drivers,1281044.986
Nebraska,2018,Insured drivers,1281044.986
Nebraska,2019,Insured drivers,1281044.986
New York,2017,Insured drivers,11690053.2
New York,2018,Insured drivers,11690053.2
New York,2019,Insured drivers,11690053.2
Oregon,2017,Insured drivers,2608137.771
Oregon,2018,Insured drivers,2608137.771
Oregon,2019,Insured drivers,2608137.771
Rhode Island,2017,Insured drivers,630495.14
Rhode Island,2018,Insured drivers,630495.14
Rhode Island,2019,Insured drivers,630495.14
Washington,2017,Insured drivers,4572034.092
Washington,2018,Insured drivers,4572034.092
Washington,2019,Insured drivers,4572034.092
Massachusetts,2017,Insured drivers (%),
Massachusetts,2018,Insured drivers (%),
Massachusetts,2019,Insured drivers (%),96.5
Nebraska,2017,Insured drivers (%),
Nebraska,2018,Insured drivers (%),
Nebraska,2019,Insured drivers (%),90.7
New York,2017,Insured drivers (%),
New York,2018,Insured drivers (%),
New York,2019,Insured drivers (%),95.9
Oregon,2017,Insured drivers (%),
Oregon,2018,Insured drivers (%),
Oregon,2019,Insured drivers (%),89.3
Rhode Island,2017,Insured drivers (%),
Rhode Island,2018,Insured drivers (%),
Rhode Island,2019,Insured drivers (%),83.5
Washington,2017,Insured drivers (%),
Washington,2018,Insured drivers (%),
Washington,2019,Insured drivers (%),78.3
Massachusetts,2017,Licensed drivers,4935176
Massachusetts,2018,Licensed drivers,4944666
Massachusetts,2019,Licensed drivers,
Nebraska,2017,Licensed drivers,1404479
Nebraska,2018,Licensed drivers,1420317
Nebraska,2019,Licensed drivers,
New York,2017,Licensed drivers,12185313
New York,2018,Licensed drivers,12194360
New York,2019,Licensed drivers,
Oregon,2017,Licensed drivers,2910592
Oregon,2018,Licensed drivers,2930702
Oregon,2019,Licensed drivers,
Rhode Island,2017,Licensed drivers,753202
Rhode Island,2018,Licensed drivers,756966
Rhode Island,2019,Licensed drivers,
Washington,2017,Licensed drivers,5768281
Washington,2018,Licensed drivers,5909967
Washington,2019,Licensed drivers,
Massachusetts,2017,Total liability premiums,2786347471
Massachusetts,2018,Total liability premiums,2908021887
Massachusetts,2019,Total liability premiums,2974336847
Nebraska,2017,Total liability premiums,620445766
Nebraska,2018,Total liability premiums,653953335
Nebraska,2019,Total liability premiums,662716990
New York,2017,Total liability premiums,8068485480
New York,2018,Total liability premiums,8507528633
New York,2019,Total liability premiums,8693435429
Oregon,2017,Total liability premiums,1836164836
Oregon,2018,Total liability premiums,1938272620
Oregon,2019,Total liability premiums,1965148534
Rhode Island,2017,Total liability premiums,576956064
Rhode Island,2018,Total liability premiums,609632196
Rhode Island,2019,Total liability premiums,626980456
Washington,2017,Total liability premiums,3013798780
Washington,2018,Total liability premiums,3213565994
Washington,2019,Total liability premiums,3324722648
Massachusetts,2017,Total liablity inc losses,1883919692
Massachusetts,2018,Total liablity inc losses,1884971967
Massachusetts,2019,Total liablity inc losses,1941414130
Nebraska,2017,Total liablity inc losses,421947825
Nebraska,2018,Total liablity inc losses,457725365
Nebraska,2019,Total liablity inc losses,469019779
New York,2017,Total liablity inc losses,6859375174
New York,2018,Total liablity inc losses,7213890723
New York,2019,Total liablity inc losses,7303824269
Oregon,2017,Total liablity inc losses,1326086935
Oregon,2018,Total liablity inc losses,1339501558
Oregon,2019,Total liablity inc losses,1382695619
Rhode Island,2017,Total liablity inc losses,453915262
Rhode Island,2018,Total liablity inc losses,445403650
Rhode Island,2019,Total liablity inc losses,469902447
Washington,2017,Total liablity inc losses,2314827529
Washington,2018,Total liablity inc losses,2247975320
Washington,2019,Total liablity inc losses,2103766398
Massachusetts,2017,Total liablity loss ratio,67.61
Massachusetts,2018,Total liablity loss ratio,64.82
Massachusetts,2019,Total liablity loss ratio,65.27
Nebraska,2017,Total liablity loss ratio,68.01
Nebraska,2018,Total liablity loss ratio,69.99
Nebraska,2019,Total liablity loss ratio,70.77
New York,2017,Total liablity loss ratio,85.01
New York,2018,Total liablity loss ratio,84.79
New York,2019,Total liablity loss ratio,84.02
Oregon,2017,Total liablity loss ratio,72.22
Oregon,2018,Total liablity loss ratio,69.11
Oregon,2019,Total liablity loss ratio,70.36
Rhode Island,2017,Total liablity loss ratio,78.67
Rhode Island,2018,Total liablity loss ratio,73.06
Rhode Island,2019,Total liablity loss ratio,74.95
Washington,2017,Total liablity loss ratio,76.81
Washington,2018,Total liablity loss ratio,69.95
Washington,2019,Total liablity loss ratio,63.28
Massachusetts,2017,Profit_per_driver,189.3063311
Massachusetts,2018,Profit_per_driver,214.6097797
Massachusetts,2019,Profit_per_driver,216.6808407
Nebraska,2017,Profit_per_driver,154.9500159
Nebraska,2018,Profit_per_driver,153.1780477
Nebraska,2019,Profit_per_driver,151.2025051
New York,2017,Profit_per_driver,103.4306932
New York,2018,Profit_per_driver,110.6614219
New York,2019,Profit_per_driver,118.8712434
Oregon,2017,Profit_per_driver,195.5716859
Oregon,2018,Profit_per_driver,229.5780034
Oregon,2019,Profit_per_driver,223.3213757
Rhode Island,2017,Profit_per_driver,195.1494852
Rhode Island,2018,Profit_per_driver,260.4755145
Rhode Island,2019,Profit_per_driver,249.1343692
Washington,2017,Profit_per_driver,152.8797111
Washington,2018,Profit_per_driver,211.1949856
Washington,2019,Profit_per_driver,267.048807
